Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,7849.66759649565,8671.75891885163,9512.63575346699,10134.3327138119,10523.7685403244,8423.56933214711,9728.80078377082,10664.4944032313,10744.1335242686,11216.8008505428,11391.3773497683,10021.2386118827,9097.92397674769,9649.27816772402,10084.7937562021,10369.5553568761,8841.27075003163,10314.0506741437,11385.4070757929,13790.0243428344
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.372,74.376,74.331,74.238,74.152,74.119,74.19,74.365,74.574,74.739,74.797,74.682,74.412,74.138,74.015,74.202,70.133,70.213,74.832,..
Mexico,MEX,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1601.01173695291,1688.18442463496,1703.43921857179,1668.65757702459,1627.74248654723,1606.14565280926,1538.08041873587,1593.29627811386,1641.07773336157,1623.21958117658,1569.31702404542,1547.2405968711,..,..,..,..,..,..,..,..
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3663.823188064,4827.78173052472,5934.1447107274,7409.69130727951,8908.33176567294,8678.65922498836,11403.2821284616,13396.6243566047,12521.7213530369,12458.891214816,12274.9939689363,8936.19661756825,8836.28652636996,10080.5092817775,9300.66164936497,9029.83326742175,7074.19378281866,7972.53665048385,9281.33334441234,10294.866680778
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.131,71.753,72.037,72.365,72.715,72.948,73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827,75.109,75.338,74.009,72.75,73.425,..
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1149.81029466062,1165.92164213113,1193.75164857958,1248.77675331706,1305.78949424833,1251.84144283752,1372.61124539446,1382.79892374997,1431.0476602212,1479.90430933711,1515.56252854316,..,..,..,..,..,..,..,..,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,4242.02099089422,5067.65342293276,5869.38028970204,7185.25155147027,8944.1102657357,8150.23527028221,10260.1313108254,12704.2831819684,12949.717486654,12963.675773326,12233.1444119186,13679.6264980954,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13935.6811110049,14187.4827252965
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.855,75.139,75.433,75.006,75.641,75.936,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,76.064,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1713.79093565639,1706.4641370817,1837.50365168543,1842.95228976916,1921.15316815088,1848.35063936502,1905.28540331162,1930.10450829198,1917.12162318991,1949.49041806068,2013.19377703705,..,..,..,..,..,..,..,..,..
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,6120.59152052304,7480.3233099645,9318.65655299547,10346.4138184533,10683.2188772853,10098.8017166866,12632.8704725219,14487.3927827263,15241.9069977366,15683.54863663,14529.6767210362,13433.9202985339,13649.8520455553,14879.9086230423,15659.4808675628,14495.716721687,13114.815470545,16216.5706467899,15451.1319576678,17067.8136150601
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.616,78.016,78.261,77.826,78.484,78.741,78.501,79.11,79.023,79.339,79.473,79.746,80.079,80.35,80.133,80.326,79.377,78.944,79.519,..
Chile,CHL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1699.56895896678,1734.92489775077,1788.30621359794,1836.79478269038,1801.11542332591,1735.63003436092,1795.40148615974,1936.94890494459,2123.80262957287,2187.73505250125,2020.95896288638,1996.85304853132,..,..,..,..,..,..,..,..
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,2818.57195413044,3456.06610874512,3789.85361217027,4769.926147194,5541.83629665898,5250.97292433518,6398.2958447102,7400.9940695669,8108.59838244229,8279.10255642981,8187.20824890084,6248.51490534512,5959.84250367574,6479.53231292429,6816.96818309544,6472.54544924705,5339.68711357943,6222.62164397614,6674.59601948063,6947.35928681966
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.695,73.081,73.468,73.837,74.295,74.742,75.033,75.32,75.597,75.827,76.043,76.257,76.471,76.646,76.748,76.752,74.769,72.83,73.659,..
Colombia,COL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,625.824398431213,642.876066038822,666.787331987166,654.309478160175,676.837335240028,693.523385598888,696.842613556207,690.498443049028,690.025091975839,729.208470937856,730.325495336895,..,..,..,..,..,..,..,..,..
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,2397.25147277714,2706.66947297608,3129.55996496982,3581.0893081917,4197.58444634142,4181.18755462253,5072.11494019615,5861.35793645245,6519.37852981527,6746.80025696601,6667.13410360861,6231.71150338894,6217.03599995447,6736.16693725487,6978.49121548627,7037.00803692604,6133.32552410183,6826.9720069846,7363.27206939639,7906.58502858
Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.668,72.986,73.172,73.223,73.377,73.466,73.711,74.133,74.544,74.967,75.333,75.621,75.789,75.879,76.009,76.156,73.665,72.377,73.385,..
Peru,PER,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,462.252878498962,485.556941025252,467.74305670665,502.445418529704,523.52395750262,545.453406606009,641.775864892339,648.375144681189,691.932072854868,683.146097485877,789.548956751178,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 01/28/2025,,,,,,,,,,,,,,,,,,,,,,,
